column_name,dtype_train,unique_including_null_train,unique_non_null_train,null_percent_train,mean_train,median_train,std_train,min_train,max_train,dtype_test,unique_including_null_test,unique_non_null_test,null_percent_test,mean_test,median_test,std_test,min_test,max_test,present_in_train,present_in_test,dtype_mismatch,unique_non_null_gap_test_minus_train,null_gap_test_minus_train,mean_gap_test_minus_train,median_gap_test_minus_train,std_gap_test_minus_train,min_gap_test_minus_train,max_gap_test_minus_train,max_null_percent,has_difference
num_tl_op_past_12m,float64,27,26,15.07,1.918232069311206,2.0,1.5734159231819338,0.0,26.0,float64,28,28,0.0,2.1709471734406725,2.0,1.8538579594409748,0.0,30.0,True,True,False,2,-15.07,0.2527151041294664,0.0,0.28044203625904096,0.0,4.0,15.07,True
num_actv_rev_tl,float64,38,37,15.07,5.752466471890933,5.0,3.0539914310541123,0.0,38.0,float64,46,46,0.0,5.8608318787921965,5.0,3.439764369579597,0.0,52.0,True,True,False,9,-15.07,0.10836540690126384,0.0,0.38577293852548467,0.0,14.0,15.07,True
num_accts_ever_120_pd,float64,31,30,15.07,0.4329702962796488,0.0,1.1513959718957958,0.0,33.0,float64,35,35,0.0,0.5270544651444449,0.0,1.33279710095417,0.0,39.0,True,True,False,5,-15.07,0.09408416886479609,0.0,0.18140112905837413,0.0,6.0,15.07,True
num_rev_tl_bal_gt_0,float64,37,36,15.07,5.738744630830962,5.0,3.044354702050104,0.0,38.0,float64,43,43,0.0,5.809237820444317,5.0,3.3466977479569215,0.0,45.0,True,True,False,7,-15.07,0.07049318961335516,0.0,0.3023430459068175,0.0,7.0,15.07,True
mo_sin_rcnt_rev_tl_op,float64,216,215,15.07,13.490747708391202,8.0,16.135246997374075,0.0,372.0,float64,241,241,0.0,13.451247343236087,8.0,17.15698529797243,0.0,324.0,True,True,False,26,-15.07,-0.03950036515511535,0.0,1.0217383005983542,0.0,-48.0,15.07,True
num_actv_bc_tl,float64,29,28,15.07,3.7149144846986575,3.0,2.125682608909885,0.0,30.0,float64,31,31,0.0,3.740965815314834,3.0,2.304541547093095,0.0,32.0,True,True,False,3,-15.07,0.026051330616176482,0.0,0.1788589381832102,0.0,2.0,15.07,True
num_tl_90g_dpd_24m,float64,23,22,15.07,0.08209620439836267,0.0,0.4453972988426513,0.0,24.0,float64,25,25,0.0,0.0943183842125886,0.0,0.5227582355733954,0.0,39.0,True,True,False,3,-15.07,0.012222179814225936,0.0,0.07736093673074412,0.0,15.0,15.07,True
num_tl_30dpd,float64,6,5,15.07,0.003030218857556987,0.0,0.059295710270309804,0.0,4.0,float64,5,5,0.0,0.004041843289518992,0.0,0.0679647557324736,0.0,4.0,True,True,False,0,-15.07,0.0010116244319620048,0.0,0.008669045462163794,0.0,0.0,15.07,True
mo_sin_old_il_acct,float64,464,463,17.92,127.14002508426746,130.0,51.13602509840168,0.0,649.0,float64,476,475,2.91,127.56741862973625,130.0,52.07547096800916,0.0,724.0,True,True,False,12,-15.010000000000002,0.4273935454687887,0.0,0.939445869607475,0.0,75.0,17.92,True
num_sats,float64,63,62,12.57,11.393785090398016,11.0,5.011550855769168,0.0,84.0,float64,72,72,0.0,11.894536862228238,11.0,5.615118843634477,0.0,90.0,True,True,False,10,-12.57,0.5007517718302221,0.0,0.6035679878653086,0.0,6.0,12.57,True
num_bc_sats,float64,37,36,12.57,4.655437739301491,4.0,2.6265887879943848,0.0,35.0,float64,48,48,0.0,4.799878887186977,4.0,3.0361837150270214,0.0,63.0,True,True,False,12,-12.57,0.14444114788548568,0.0,0.40959492703263667,0.0,28.0,12.57,True
num_tl_120dpd_2m,float64,4,3,16.81,0.000763093105092873,0.0,0.028622181702757005,0.0,2.0,float64,6,5,4.57,0.0007614497405845247,0.0,0.03016912445630646,0.0,6.0,True,True,False,2,-12.239999999999998,-1.6433645083483751e-06,0.0,0.0015469427535494545,0.0,4.0,16.81,True
acc_open_past_24mths,float64,40,39,10.73,4.198555219491804,4.0,2.7868782242069274,0.0,53.0,float64,47,47,0.0,4.664999584416818,4.0,3.1953795748105325,0.0,64.0,True,True,False,8,-10.73,0.46644436492501384,0.0,0.40850135060360504,0.0,11.0,10.73,True
