column_name,dtype_train,unique_including_null_train,unique_non_null_train,null_percent_train,mean_train,median_train,std_train,min_train,max_train,dtype_test,unique_including_null_test,unique_non_null_test,null_percent_test,mean_test,median_test,std_test,min_test,max_test,present_in_train,present_in_test,dtype_mismatch,unique_non_null_gap_test_minus_train,null_gap_test_minus_train,mean_gap_test_minus_train,median_gap_test_minus_train,std_gap_test_minus_train,min_gap_test_minus_train,max_gap_test_minus_train,max_null_percent,has_difference
mo_sin_old_rev_tl_op,float64,692,691,15.07,182.8057119769703,165.0,91.13582249039399,3.0,842.0,float64,709,709,0.0,186.58669658865577,170.0,95.37493106427112,3.0,851.0,True,True,False,18,-15.07,3.780984611685483,5.0,4.239108573877132,0.0,9.0,15.07,True
mo_sin_rcnt_rev_tl_op,float64,216,215,15.07,13.490747708391202,8.0,16.135246997374075,0.0,372.0,float64,241,241,0.0,13.451247343236087,8.0,17.15698529797243,0.0,324.0,True,True,False,26,-15.07,-0.03950036515511535,0.0,1.0217383005983542,0.0,-48.0,15.07,True
mo_sin_rcnt_tl,float64,144,143,15.07,8.378507162679824,6.0,9.150215839117562,0.0,226.0,float64,168,168,0.0,8.013203671380568,5.0,9.189311784701355,0.0,263.0,True,True,False,25,-15.07,-0.3653034912992563,-1.0,0.03909594558379226,0.0,37.0,15.07,True
mort_acc,float64,37,36,10.73,1.8337613541634135,1.0,2.1753112241862205,0.0,37.0,float64,36,36,0.0,1.6852610456072858,1.0,1.9901603340158858,0.0,52.0,True,True,False,0,-10.73,-0.1485003085561276,0.0,-0.1851508901703347,0.0,15.0,10.73,True
mths_since_last_delinq,float64,146,146,0.0,5384.28903014667,9999.0,4968.88610318276,0.0,9999.0,float64,141,141,0.0,4860.669537752764,77.0,4980.081442077532,0.0,9999.0,True,True,False,-5,0.0,-523.6194923939056,-9922.0,11.195338894772249,0.0,0.0,0.0,True
mths_since_last_major_derog,float64,163,163,0.0,7885.688415074836,9999.0,4071.1781564750763,0.0,9999.0,float64,163,163,0.0,7097.919759199231,9999.0,4523.378152907302,0.0,9999.0,True,True,False,0,0.0,-787.768655875605,0.0,452.1999964322258,0.0,0.0,0.0,True
mths_since_last_record,float64,124,124,0.0,8665.780369171776,9999.0,3384.4453952897134,0.0,9999.0,float64,122,122,0.0,8243.766392381767,9999.0,3788.535328753453,0.0,9999.0,True,True,False,-2,0.0,-422.0139767900091,0.0,404.0899334637397,0.0,0.0,0.0,True
mths_since_recent_bc,float64,403,402,11.5,24.97198791312376,14.0,29.951686500923422,0.0,616.0,float64,427,426,0.9,24.856533835613483,14.0,32.27279270614922,0.0,615.0,True,True,False,24,-10.6,-0.11545407751027525,0.0,2.321106205225796,0.0,-1.0,11.5,True
mths_since_recent_bc_dlq,float64,141,141,0.0,7884.222354472675,9999.0,4072.932224648874,0.0,9999.0,float64,151,151,0.0,7430.541637872689,9999.0,4356.936499409325,0.0,9999.0,True,True,False,10,0.0,-453.6807165999862,0.0,284.0042747604507,0.0,0.0,0.0,True
mths_since_recent_inq,float64,27,26,19.75,6.951012827365045,5.0,5.909552987531266,0.0,25.0,float64,27,26,10.59,6.751163358973269,5.0,5.914006236755822,0.0,25.0,True,True,False,0,-9.16,-0.19984946839177642,0.0,0.004453249224555478,0.0,0.0,19.75,True
mths_since_recent_revol_delinq,float64,149,149,0.0,7024.903374960057,9999.0,4559.181446749359,0.0,9999.0,float64,148,148,0.0,6408.868291003218,9999.0,4783.346491738435,0.0,9999.0,True,True,False,-1,0.0,-616.0350839568391,0.0,224.1650449890767,0.0,0.0,0.0,True
num_accts_ever_120_pd,float64,31,30,15.07,0.4329702962796488,0.0,1.1513959718957958,0.0,33.0,float64,35,35,0.0,0.5270544651444449,0.0,1.33279710095417,0.0,39.0,True,True,False,5,-15.07,0.09408416886479609,0.0,0.18140112905837413,0.0,6.0,15.07,True
num_actv_bc_tl,float64,29,28,15.07,3.7149144846986575,3.0,2.125682608909885,0.0,30.0,float64,31,31,0.0,3.740965815314834,3.0,2.304541547093095,0.0,32.0,True,True,False,3,-15.07,0.026051330616176482,0.0,0.1788589381832102,0.0,2.0,15.07,True
num_actv_rev_tl,float64,38,37,15.07,5.752466471890933,5.0,3.0539914310541123,0.0,38.0,float64,46,46,0.0,5.8608318787921965,5.0,3.439764369579597,0.0,52.0,True,True,False,9,-15.07,0.10836540690126384,0.0,0.38577293852548467,0.0,14.0,15.07,True
num_bc_sats,float64,37,36,12.57,4.655437739301491,4.0,2.6265887879943848,0.0,35.0,float64,48,48,0.0,4.799878887186977,4.0,3.0361837150270214,0.0,63.0,True,True,False,12,-12.57,0.14444114788548568,0.0,0.40959492703263667,0.0,28.0,12.57,True
num_bc_tl,float64,57,56,15.07,8.736373484574923,8.0,4.822061603994154,0.0,65.0,float64,61,61,0.0,8.137137700518885,7.0,4.8226982819815865,0.0,70.0,True,True,False,5,-15.07,-0.5992357840560381,-1.0,0.000636677987432499,0.0,5.0,15.07,True
num_il_tl,float64,86,85,15.07,8.23008199267192,6.0,7.030759396075732,0.0,150.0,float64,104,104,0.0,8.649000819292558,7.0,7.4710411899047,0.0,132.0,True,True,False,19,-15.07,0.4189188266206383,1.0,0.4402817938289676,0.0,-18.0,15.07,True
