column_name,train_n_unique,train_null_percent,train_is_numeric,train_is_object,train_is_mixed_type,train_is_numeric_object,train_is_fully_null,train_is_constant,test_n_unique,test_null_percent,test_is_numeric,test_is_object,test_is_mixed_type,test_is_numeric_object,test_is_fully_null,test_is_constant,max_null_percent,null_gap_test_minus_train,present_in_train,present_in_test,train_dtype,test_dtype,dtype_mismatch
max_bal_bc,1,100.0,True,False,False,False,True,False,10708,94.92,True,False,False,False,False,False,100.0,-5.079999999999998,True,True,float64,float64,False
mths_since_rcnt_il,1,100.0,True,False,False,False,True,False,202,95.06,True,False,False,False,False,False,100.0,-4.939999999999998,True,True,float64,float64,False
open_acc_6m,1,100.0,True,False,False,False,True,False,14,94.92,True,False,False,False,False,False,100.0,-5.079999999999998,True,True,float64,float64,False
open_il_12m,1,100.0,True,False,False,False,True,False,13,94.92,True,False,False,False,False,False,100.0,-5.079999999999998,True,True,float64,float64,False
open_il_24m,1,100.0,True,False,False,False,True,False,18,94.92,True,False,False,False,False,False,100.0,-5.079999999999998,True,True,float64,float64,False
open_il_6m,1,100.0,True,False,False,False,True,False,36,94.92,True,False,False,False,False,False,100.0,-5.079999999999998,True,True,float64,float64,False
open_rv_12m,1,100.0,True,False,False,False,True,False,19,94.92,True,False,False,False,False,False,100.0,-5.079999999999998,True,True,float64,float64,False
open_rv_24m,1,100.0,True,False,False,False,True,False,29,94.92,True,False,False,False,False,False,100.0,-5.079999999999998,True,True,float64,float64,False
total_bal_il,1,100.0,True,False,False,False,True,False,17031,94.92,True,False,False,False,False,False,100.0,-5.079999999999998,True,True,float64,float64,False
total_cu_tl,1,100.0,True,False,False,False,True,False,34,94.92,True,False,False,False,False,False,100.0,-5.079999999999998,True,True,float64,float64,False
application_type,1,0.0,False,True,False,False,False,True,2,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
policy_code,1,0.0,True,False,False,False,False,True,1,0.0,True,False,False,False,False,True,0.0,0.0,True,True,int64,int64,False
desc,124436,72.98,False,True,False,False,False,False,35,99.99,False,True,False,False,False,False,99.99,27.00999999999999,True,True,str,str,False
mths_since_last_record,124,86.57,True,False,False,False,False,False,122,82.33,True,False,False,False,False,False,86.57,-4.239999999999995,True,True,float64,float64,False
mths_since_last_major_derog,163,78.77,True,False,False,False,False,False,163,70.85,True,False,False,False,False,False,78.77,-7.920000000000002,True,True,float64,float64,False
mths_since_recent_bc_dlq,141,78.77,True,False,False,False,False,False,151,74.21,True,False,False,False,False,False,78.77,-4.560000000000002,True,True,float64,float64,False
mths_since_recent_revol_delinq,149,70.15,True,False,False,False,False,False,148,63.97,True,False,False,False,False,False,70.15,-6.180000000000007,True,True,float64,float64,False
next_pymnt_d,106,60.07,False,True,False,False,False,False,5,14.23,False,True,False,False,False,False,60.07,-45.84,True,True,str,str,False
mths_since_last_delinq,146,53.69,True,False,False,False,False,False,141,48.44,True,False,False,False,False,False,53.69,-5.25,True,True,float64,float64,False
mths_since_recent_inq,27,19.75,True,False,False,False,False,False,27,10.59,True,False,False,False,False,False,19.75,-9.16,True,True,float64,float64,False
mo_sin_old_il_acct,464,17.92,True,False,False,False,False,False,476,2.91,True,False,False,False,False,False,17.92,-15.010000000000002,True,True,float64,float64,False
