model_name,dataset_name,roc_auc,accuracy,precision,recall,f1,brier_score,true_negative,false_positive,false_negative,true_positive
catboost_shared,test,0.7220549032748903,0.812254215823502,0.4827466016033461,0.12401504297994269,0.19733561302272565,0.13825104060973412,47360,1484,9783,1385
catboost_shared_tuned,test,0.7232283807796719,0.8116376724655069,0.47914110429447854,0.13986389684813755,0.21652342667036317,0.13833294161987386,47146,1698,9606,1562
catboost_shared_tuned_weighted,test,0.7234852251827291,0.8114377124575085,0.47655259822560203,0.1346704871060172,0.20999720748394304,0.13816226759147343,47192,1652,9664,1504
