trial_index,roc_auc,warning_count,iterations,learning_rate,depth,l2_leaf_reg,border_count,random_strength,warning_messages
3,0.7194053267583342,0,622,0.07764384584755304,6,5.991263083142513,54,0.5957258841562629,
2,0.7190033615251192,0,720,0.06820374315023556,6,9.340884899637416,107,1.734142419906245,
20,0.7186639084775552,0,769,0.11052164876010569,4,5.015406480166276,48,0.9522681337218148,
16,0.7186222609024222,0,797,0.050412133162494294,8,1.5247246752015942,115,0.9403906366500254,
23,0.7185752573560509,0,433,0.1212376175155533,5,5.044253519294098,101,0.9083623427677385,
7,0.7184495757352295,0,673,0.062357296557959754,8,5.226002301482271,67,0.7842070386264286,
0,0.7183338610380199,0,344,0.0770541971677668,7,8.727381279202442,40,0.6412660218314743,
10,0.7182413072423509,0,518,0.07037218927392268,8,3.5949529353721967,55,0.7096287254139647,
14,0.718230056436914,0,339,0.10251338160007681,7,5.982214605921962,40,0.9559251470939183,
11,0.7182165338342255,0,641,0.04598806632176408,8,8.082319397519246,32,1.497276284888048,
24,0.7180486004585886,0,339,0.13733831155069942,4,5.1019866085025,100,0.9589349362259787,
17,0.7180295851277743,0,440,0.10604914691449636,4,8.05508388195772,86,1.4964703104910813,
8,0.7178911014293585,0,531,0.08184164040937139,4,3.042184141457957,86,1.155727878308496,
18,0.7177387358862809,0,505,0.12582265000658452,6,2.5027562791693354,64,0.6350717911634627,
21,0.7176253685087832,0,490,0.1019367371054555,7,1.7888492738449089,67,0.677008853180773,
19,0.7170800902219887,0,311,0.11390671557753855,7,2.451446011302416,76,1.2515671626550453,
12,0.7168420066864729,0,536,0.12149477403285583,7,5.13024197984506,81,0.7096954971914862,
5,0.7167682130781714,0,477,0.1361057457718857,7,2.751748370667708,107,1.2000815055905512,
9,0.7167125550660793,0,635,0.12824816548751886,7,3.8112997724383697,99,1.7483897020928016,
4,0.7163522904778343,0,730,0.10211637188586843,8,7.822789660768365,99,1.9560470365923548,
13,0.7162630413000902,0,584,0.03488890955967655,6,5.239865855288192,96,1.3478541597217832,
1,0.7150205192483483,0,649,0.14683090571277826,7,8.074578747492584,105,0.6921704490133188,
22,0.7147697744744208,0,469,0.13811548979198893,8,7.297364204296746,76,1.9537645660215859,
6,0.7136809324647951,0,549,0.04005763396878122,4,7.147440579182092,121,1.951264598651315,
15,0.7120691055821957,0,580,0.024006318493832123,5,2.931262055375763,74,1.1127929655869542,
