model_name,dataset_name,roc_auc,accuracy,precision,recall,f1,brier_score,true_negative,false_positive,false_negative,true_positive
logistic_regression,test,0.7058276536914552,0.8113044057855096,0.4696261682242991,0.10798710601719198,0.17559697146185207,0.14051744452299894,47482,1362,9962,1206
shared_random_forest,test,0.7093796715814621,0.814120509231487,0.5063414634146342,0.04647206303724928,0.08513081276142048,0.14101252300980135,48338,506,10649,519
tree_no_log_random_forest,test,0.7093698977963643,0.8140705192294875,0.5048828125,0.04629297994269341,0.08480971128608925,0.14101030036790996,48337,507,10651,517
catboost_shared,test,0.7220549032748903,0.812254215823502,0.4827466016033461,0.12401504297994269,0.19733561302272565,0.13825104060973412,47360,1484,9783,1385
catboost_native,test,0.7230228938912939,0.8114210491235087,0.4746684801088065,0.125,0.19788787298887234,0.1381881806312099,47299,1545,9772,1396
