model_name,dataset_name,threshold,roc_auc,accuracy,precision,recall,f1,brier_score,true_negative,false_positive,false_negative,true_positive
catboost_native,test,0.2,0.7230228938912939,0.6264080517229887,0.29404012300483234,0.7191977077363897,0.4174202265876728,0.1381881806312099,29560,19284,3136,8032
catboost_native,test,0.3,0.7230228938912939,0.7466173431980271,0.36016068707577226,0.4656160458452722,0.40615480746699995,0.1381881806312099,39606,9238,5968,5200
catboost_native,test,0.4,0.7230228938912939,0.7936579350796508,0.414279666995908,0.2628939828080229,0.3216652971788551,0.1381881806312099,44693,4151,8232,2936
catboost_native,test,0.5,0.7230228938912939,0.8114210491235087,0.4746684801088065,0.125,0.19788787298887234,0.1381881806312099,47299,1545,9772,1396
catboost_native,test,0.6,0.7230228938912939,0.815870159301473,0.5633047210300429,0.04700931232091691,0.08677685950413223,0.1381881806312099,48437,407,10643,525
