iter	Logloss
0	0.6567277022
1	0.6300894791
2	0.6076288672
3	0.5855256681
4	0.5675956867
5	0.5523041053
6	0.5387001066
7	0.5297807034
8	0.5220849316
9	0.5144362483
10	0.5086858949
11	0.5027206097
12	0.4974711713
13	0.4934560771
14	0.4901934558
15	0.4873907729
16	0.4849592698
17	0.481900952
18	0.4796890733
19	0.4779088503
20	0.475974996
21	0.4746111684
22	0.473101948
23	0.4719601647
24	0.4709737848
25	0.4701641247
26	0.4694596081
27	0.4685558029
28	0.467357375
29	0.4668273583
30	0.46633556
31	0.4658535393
32	0.4649003011
33	0.4640849601
34	0.4636256954
35	0.4630971758
36	0.4626381181
37	0.4621633046
38	0.4619310828
39	0.4615808869
40	0.461335626
41	0.4610256829
42	0.4608037908
43	0.4604290518
44	0.4601428707
45	0.4598445255
46	0.459608128
47	0.4592726608
48	0.459102616
49	0.4588289456
50	0.4586046273
51	0.4583302864
52	0.4580080528
53	0.4578277903
54	0.4575201266
55	0.4573051705
56	0.4571161611
57	0.4569650017
58	0.456769271
59	0.4566167786
60	0.4564275252
61	0.4562391671
62	0.4560834564
63	0.455952164
64	0.4557836819
65	0.4556424907
66	0.4554817799
67	0.4553082997
68	0.4551503045
69	0.4549073325
70	0.4548124051
71	0.4547052235
72	0.4545880691
73	0.4544801104
74	0.4543938284
75	0.4543238948
76	0.4542593434
77	0.4541426885
78	0.4540260213
79	0.4539073413
80	0.4537589282
81	0.4536872812
82	0.4535786668
83	0.4534608692
84	0.4533566062
85	0.4532963391
86	0.4531175461
87	0.4529809151
88	0.452882039
89	0.4527727553
90	0.4526900063
91	0.4525974761
92	0.4525374434
93	0.4524781842
94	0.452379671
95	0.4522973283
96	0.4521945417
97	0.4521269099
98	0.4520378809
99	0.4519753961
100	0.4518972169
101	0.4518071688
102	0.4516956886
103	0.4516730832
104	0.451572221
105	0.4515019303
106	0.451460772
107	0.4513871977
108	0.4513495519
109	0.4512620107
110	0.451171057
111	0.4511112824
112	0.4510410993
113	0.4509550986
114	0.4508751872
115	0.4507703049
116	0.4507359326
117	0.450674462
118	0.4506213614
119	0.4505515333
120	0.4504718298
121	0.4504142515
122	0.4503645582
123	0.4503352433
124	0.4502559929
125	0.4501914332
126	0.450114303
127	0.4500710108
128	0.4500236319
129	0.4499509197
130	0.4498669436
131	0.4497945079
132	0.4497362303
133	0.4496866503
134	0.4496582542
135	0.4495752701
136	0.4495377686
137	0.4494929265
138	0.4494449151
139	0.449393849
140	0.4493506243
141	0.4493107505
142	0.4492275731
143	0.4491531371
144	0.4491032138
145	0.4490377202
146	0.4489967194
147	0.4489498269
148	0.4489288842
149	0.4488917704
150	0.4488712171
151	0.4487871948
152	0.4487545267
153	0.448677305
154	0.4485961795
155	0.4485402533
156	0.4485007654
157	0.4484417822
158	0.4483291064
159	0.4482598117
160	0.4481945539
161	0.4481298753
162	0.4481072313
163	0.4480437205
164	0.447993491
165	0.447939097
166	0.4478887966
167	0.4478261652
168	0.4477652838
169	0.4476650016
170	0.4476302703
171	0.4475632773
172	0.4475233986
173	0.4474169294
174	0.4473396784
175	0.4472860635
176	0.4472033599
177	0.447144274
178	0.4470908958
179	0.4470018907
180	0.4469171504
181	0.4468537943
182	0.4467594757
183	0.4466693197
184	0.446614822
185	0.4465314812
186	0.4464643366
187	0.4463971231
188	0.4463187325
189	0.4462376471
190	0.4461533159
191	0.4460781661
192	0.4460060077
193	0.4459319054
194	0.4458596935
195	0.4457791663
196	0.4457037151
197	0.4456317613
198	0.4455480834
199	0.4454849163
200	0.4453990187
201	0.4453369474
202	0.4452555237
203	0.445200157
204	0.4451299952
205	0.4450517235
206	0.4449840509
207	0.4449148029
208	0.4448624381
209	0.4447936695
210	0.444724357
211	0.4446614117
212	0.4445959959
213	0.4445163737
214	0.4444525202
215	0.4443899193
216	0.4443288007
217	0.4442566029
218	0.4441893494
219	0.4441437506
220	0.4440777856
221	0.444007429
222	0.4439455227
223	0.4438839563
224	0.4438300568
225	0.4437626017
226	0.4437140577
227	0.4436443707
228	0.4435722413
229	0.4435115698
230	0.4434288776
231	0.4433713121
232	0.4433077612
233	0.4432388984
234	0.4431868282
235	0.443132302
236	0.4430612359
237	0.4430147375
238	0.4429648699
239	0.4428990571
240	0.4428368498
241	0.4427695355
242	0.4427185417
243	0.4426695457
244	0.4426128577
245	0.4425526509
246	0.4424862863
247	0.44242361
248	0.442376044
249	0.4423347677
250	0.4422751256
251	0.4422042163
252	0.4421421679
253	0.4420885687
254	0.4420255224
255	0.4419709864
256	0.4419129381
257	0.4418525663
258	0.4417892085
259	0.4417244323
260	0.441666333
261	0.4416120182
262	0.441566734
263	0.4415192756
264	0.4414724552
265	0.4414169217
266	0.4413701125
267	0.441318015
268	0.4412631799
269	0.4412089534
270	0.441164634
271	0.4411232065
272	0.4410754465
273	0.4410262679
274	0.4409738164
275	0.440922943
276	0.4408639052
277	0.440815582
278	0.4407644492
279	0.440723716
280	0.4406543846
281	0.4406037812
282	0.4405526563
283	0.4405066869
284	0.4404578375
285	0.4404088343
286	0.4403686411
287	0.4403293741
288	0.4402859952
289	0.440232145
290	0.4401856209
291	0.4401339228
292	0.4400966263
293	0.4400514265
294	0.440005357
295	0.4399605829
296	0.4399175509
297	0.4398673884
298	0.4398225262
299	0.4397815771
300	0.4397365642
301	0.4396957387
302	0.4396486939
303	0.4396116302
304	0.4395542117
305	0.4395119998
306	0.4394583876
307	0.4394158675
308	0.4393657573
309	0.4393099738
310	0.4392788205
311	0.439239911
312	0.4392081666
313	0.4391689362
314	0.4391307062
315	0.439074662
316	0.4390384625
317	0.4389944397
318	0.4389479906
319	0.4389084164
320	0.4388756492
321	0.4388327582
322	0.4387958394
323	0.4387423871
324	0.4387090223
325	0.4386665242
326	0.43862565
327	0.4385848819
328	0.4385409071
329	0.4384886249
330	0.4384384466
331	0.4384068789
332	0.4383601851
333	0.4383265724
334	0.4382781382
335	0.4382353493
336	0.4381968213
337	0.4381553406
338	0.4381127804
339	0.4380900217
340	0.4380617219
341	0.4380288544
342	0.4379931463
343	0.4379654033
344	0.4379164517
345	0.4378755048
346	0.4378392715
347	0.4378000459
348	0.4377662274
349	0.4377284831
350	0.4377040045
351	0.4376674193
352	0.4376321526
353	0.4375994882
354	0.4375653826
355	0.4375212726
356	0.4374863125
357	0.4374372229
358	0.4373945706
359	0.4373463912
360	0.4373149307
361	0.4372709577
362	0.4372378468
363	0.4372006149
364	0.4371456788
365	0.4371140951
366	0.4371128048
367	0.4370793844
368	0.4370490934
369	0.4369994016
370	0.4369600743
371	0.436914699
372	0.4368821923
373	0.4368595607
374	0.4368248245
375	0.4367790361
376	0.4367670317
377	0.4367323623
378	0.4366973446
379	0.4366589853
380	0.4366252228
381	0.4365909163
382	0.4365884152
383	0.436540807
384	0.4365046587
385	0.4364637865
386	0.4364321566
387	0.4363857725
388	0.4363440089
389	0.4363036008
390	0.436268033
391	0.436213613
392	0.4361808114
393	0.4361405238
394	0.4360945542
395	0.4360497636
396	0.4360148613
397	0.4359828597
398	0.4359455188
399	0.4359099541
400	0.4358726854
401	0.4358340074
402	0.4357987671
403	0.4357598789
404	0.435722054
405	0.4356858643
406	0.4356481376
407	0.4356166976
408	0.4355691431
409	0.4355501613
410	0.4355201525
411	0.4354969903
412	0.4354711658
413	0.4354282132
414	0.4353896717
415	0.4353460177
416	0.435311242
417	0.4352751682
418	0.435243642
419	0.4352015585
420	0.4351639406
421	0.4351134021
422	0.4350808773
423	0.435042419
424	0.4350115404
425	0.434975419
426	0.4349297107
427	0.4349010248
428	0.4348644549
429	0.4348284915
430	0.4347901323
431	0.4347578802
432	0.4347135395
433	0.4346863861
434	0.4346524868
435	0.4346174505
436	0.434584743
437	0.4345417936
438	0.4345390209
439	0.4344923988
440	0.4344591745
441	0.4344300755
442	0.4343946631
443	0.4343497973
444	0.4343230574
445	0.4342914111
446	0.4342756073
447	0.4342282794
448	0.4341971333
449	0.4341623472
450	0.4341273146
451	0.4341002072
452	0.4340650161
453	0.4340201365
454	0.4339718818
455	0.4339384756
456	0.4339232738
457	0.4338933331
458	0.4338685108
459	0.4338457097
460	0.4338110615
461	0.4337836909
462	0.4337470947
463	0.433723155
464	0.4336949319
465	0.4336715927
466	0.4336376382
467	0.433636739
468	0.4336021688
469	0.4335639195
470	0.4335411388
471	0.4335169386
472	0.433486781
473	0.4334530126
474	0.4334352595
475	0.4334099499
476	0.4333744099
477	0.4333467317
478	0.4333168379
479	0.4332794459
480	0.4332700973
481	0.4332315424
482	0.4331991415
483	0.4331608505
484	0.4331294894
485	0.4330959635
486	0.4330589288
487	0.4330260782
488	0.4329955695
489	0.4329673992
490	0.4329340732
491	0.4328865803
492	0.4328506936
493	0.4328018639
494	0.4327804767
495	0.4327509463
496	0.4327154737
497	0.4326761678
498	0.4326450232
499	0.4326040223
500	0.4325672557
501	0.4325335711
502	0.4325091823
503	0.4324845392
504	0.4324607101
505	0.4324301734
506	0.4324100676
507	0.4323932935
508	0.4323587916
509	0.4323327347
510	0.4323042005
511	0.4323015709
512	0.4322665052
513	0.4322272394
514	0.4321999603
515	0.4321680152
516	0.4321385867
517	0.4321164216
518	0.4320680965
519	0.4320246743
520	0.4320039224
521	0.4319633712
522	0.4319317171
523	0.4318824462
524	0.4318392953
525	0.43182357
526	0.4317807001
527	0.431739226
528	0.4317076966
529	0.4316750964
530	0.4316613185
531	0.4316345134
532	0.4315855566
533	0.4315458858
534	0.4315121106
535	0.4314844074
536	0.4314526585
537	0.4314192674
538	0.4313877701
539	0.4313577385
540	0.4313278016
541	0.4312954439
542	0.4312732471
543	0.4312488088
544	0.4312163515
545	0.431178252
546	0.4311559566
547	0.4311285855
548	0.4311061924
549	0.4310797056
550	0.4310417606
551	0.4310193265
552	0.4309765726
553	0.4309644062
554	0.430943602
555	0.4309248351
556	0.4309017501
557	0.4308814558
558	0.4308604248
559	0.4308293048
560	0.4308084011
561	0.4307836912
562	0.4307530988
563	0.4307196508
564	0.4306898413
565	0.4306498467
566	0.4306201815
567	0.4305882195
568	0.4305493233
569	0.4305253175
570	0.4304924926
571	0.4304891187
572	0.4304689106
573	0.4304412308
574	0.4304141014
575	0.4303733316
576	0.4303389787
577	0.4303096283
578	0.4302850264
579	0.4302677641
580	0.430230628
581	0.4302003249
582	0.4301700671
583	0.4301441708
584	0.4301362985
585	0.4300993908
586	0.4300661908
587	0.4300326621
588	0.430004176
589	0.4299647225
590	0.4299309359
591	0.4299010072
592	0.4298706119
593	0.4298507554
594	0.4298137727
595	0.4297913763
596	0.4297627633
597	0.4297244989
598	0.4297191742
599	0.429689439
600	0.4296623616
601	0.4296363287
602	0.4296145157
603	0.4295839405
604	0.4295603417
605	0.4295275523
606	0.4294932907
607	0.4294695388
608	0.4294411654
609	0.4294102314
610	0.4293868026
611	0.4293548538
612	0.4293317389
613	0.4292992661
614	0.4292732388
615	0.4292344651
616	0.4292088236
617	0.4291786275
618	0.4291549613
619	0.4291180691
620	0.4290899046
621	0.4290556128
